"","ResponseId","involve","org_representation","org","org_type","title","tasks","affiliations","location","informShort","informLong","concernShort","concernLong","agree","science","info","impact","top_sector","policy","collabActivities","barriers","resources","forum_name","forummImpact_DD","forummGoals_DD","forummProgress_DD","forummFairness_DD","forummProcess_DD","forummBarriers_DD","forumImpact_RMSI","forumGoals_RMSI","forumProgress_RMSI","forumFairness_RMSI","forumProcess_RMSI","forumBarriers_RMSI","forumImpact_CSLRSP","forumGoals_CSLRSP","forumProgress_CSLRSP","forumFairness_CSLRSP","forumProcess_CSLRSP","forumBarriers_CSLRSP","forumImpact_CRHMP","forumGoals_CRHMP","forumProgress_CRHMP","forumFairness_CRHMP","forumProcess_CRHMP","forumBarriers_CRHMP","collaboratorsFed","collaboratorsState","collaboratorsLocalRegional","collaboratorsNGO","missing_collaborators"
"124","R_yRdC4RexprbeczT","A major aspect of my work for 1-5 years","Yes, I am involved on behalf of one organization","coastal conservation league","non-profit/non-governmental organization","Communities and Transportation Senior Program Director ","Planning,Project Management,Advocacy,Outreach/Communication","no","All of Berkeley County,All of Charleston County,All of Dorchester County","Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","Fairly High","Scientists’ participation into policy meetings/forums,Development of regional reports on sea-level rise,Availability of a source of translation of scientific knowledge into cost estimates",NA,"They are starting to be felt right now","Transportation Infrastructure, Historically Underserved Communities, Public Health","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Empower an existing regional authority to address sea-level rise in the area","Sharing information with other organizations,Engaging in joint planning with other organizations,Preparing grant/funding proposals jointly with other organizations,Organizing public meetings jointly with other organizations,Outreach activities regarding sea level rise-related projects jointly with other organizations,Publishing reports or other public available documents jointly with other organizations,Joining or supporting litigation or other judicial processes,Carrying out advocacy activities jointly with other organizations","Distrust among stakeholders,Lack of political leadership of elected officials","About Right","Dutch Dialogues Report (2019),U.S. Army Corps of Engineers Charleston Peninsula Coastal Storm Risk Management Study,City of Charleston Sea-level Rise Strategy Plan (2015 or 2019),Other, Charleston County Resilience Element Committee","5","Somewhat agree","Somewhat agree","8","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Other: The DD is a good exercise to get people thinking but it doesn't set policy only very lofty ideas that need to be translated into realistic policy, which has yet to occur. ","0","Strongly disagree","Strongly disagree","0","For most decisions, one group’s gain involves another group’s loss.","Other: The Corps has handled this process very poorly ","7","Somewhat agree","Somewhat agree","7","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Other: This wasn't really a public process to engage in",NA,NA,NA,NA,NA,NA,"-","South Carolina Office of Resilience ","City of Charleston, Charleston County","Southern Environmental Law Center, The Nature Conservancy, Dr. Robert Young",NA
"125","R_1K0Cc9P94IiRheM","A major aspect of my work for 1-5 years","Yes, I am involved on behalf of one organization","charleston trident association of realtors","non-profit/non-governmental organization","Government Affairs Director","Executive Management,Policy Analysis,Planning,Governmental Affairs,Advocacy,Outreach/Communication","American Flood Coalition-Board Member","All of Berkeley County,All of Charleston County,All of Dorchester County","Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","Very High","Increased stakeholders’ familiarity with scientific tools,Creation of a single platform of available scientific information,Development of regional reports on sea-level rise","As many as possible.","They are starting to be felt right now","Transportation Infrastructure, Economic Growth, Availability of Housing","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Empower an existing regional authority to address sea-level rise in the area","Sharing information with other organizations,Engaging in joint planning with other organizations,Organizing public meetings jointly with other organizations,Outreach activities regarding sea level rise-related projects jointly with other organizations,Carrying out advocacy activities jointly with other organizations","Scarce budgetary/staff resources,Distrust among stakeholders,Lack of political leadership of elected officials,Lack of an overarching plan,Lack of relationships with community-based organizations","About Right","Dutch Dialogues Report (2019),U.S. Army Corps of Engineers Charleston Peninsula Coastal Storm Risk Management Study,City of Charleston Sea-level Rise Strategy Plan (2015 or 2019),Charleston Regional Hazard Mitigation Plan,Other,Other, Charleston County Resiliency Task Force, City of Charleston Sustainability Committee","7","Somewhat agree","Somewhat agree","5","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Participants didn't attend meetings often enough,Participants were not trustworthy,The process was controlled by a few dominant stakeholders","7","Somewhat agree","Somewhat agree","5","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Participants do not share common views,Participants are not trustworthy,The process is controlled by a few dominant stakeholders","6","Somewhat agree","Somewhat agree","6","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Participants do not share common views,The process is controlled by a few dominant stakeholders","6","Somewhat agree","Somewhat agree","6","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Participants do not share common views,The process is controlled by a few dominant stakeholders","Congressional Delegation, DOD, US DOT","DHEC, State Resilience Office","COG and Local Governments","American Flood Coalition",NA
"126","R_1HqT8BvaBpGrtwI","No involvement",NA,"goodstock consulting","consulting/research","Managing Director","Executive Management,Planning,Project Management","No","All of Berkeley County,All of Charleston County,All of Dorchester County","Somewhat Informed","Somewhat Informed","Somewhat Concerned","Concerned","Low","Communication of scientific results or estimates in plain, accessible language,Scientists’ participation into policy meetings/forums,Direct relationship with scientists working on sea-level rise,Development of regional reports on sea-level rise","1","They have been felt for a while already","Historically Underserved Communities, Availability of Housing, Affordability of Housing","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Focus attention on the impact of sea-level rise on historically underserved communities in the area","Nothing","Knowledge of staff,Uncertainty of the future extent of sea-level rise,Uncertainty about how quickly sea-level rise will happen","Far Too Little","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"n/a","n/a","n/a","n/a",NA
"127","R_2uIjUCqZHzzHtxm","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","town of moncks corner","local government","Community Development Director","Policy Analysis,Planning,Governmental Affairs,Project Management,Advocacy,Outreach/Communication",NA,"Town of Moncks Corner (Berkeley County)","Well-Informed","Well-Informed","Somewhat Concerned","Somewhat Concerned","Not Very High","Communication of scientific results or estimates in plain, accessible language,Development of regional reports on sea-level rise","None","In the next few decades","Economic Growth, Availability of Housing, Affordability of Housing","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Support local jurisdictions to respond to sea-level rise threats as they see fit; Empower an existing regional authority to address sea-level rise in the area","Nothing","Scarce budgetary/staff resources,Lack of experience collaborating with other organizations in the tri-county area,Lack of political leadership of elected officials,Uncertainty of the future extent of sea-level rise,Uncertainty about how quickly sea-level rise will happen,Lack of an overarching plan,Lack of awareness about other organizations’ activity,Lack of public support for policies addressing sea-level rise","About Right","None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N/A","N/A","N/A","N/A",NA
"128","R_8k3KOqjbwYS5bxv","A major aspect of my work for more than 5 years","Yes, I am involved on behalf of one organization","city of charleston","local government","CHief Resilience Officer, Emergency Manager (2015-2021)","Executive Management,Policy Analysis,Planning,Governmental Affairs,Project Management,Outreach/Communication","Currently employed by Fernleaf Interactive in Asheville North Carolina","City of Charleston (Charleston County)","Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","High","Update existing reports on sea-level rise for the whole tri-county area,Development of regional reports on sea-level rise,Availability of a source of translation of scientific knowledge into cost estimates,Stakeholder agreement on the interpretation of scientific information","too many to list 10+","They have been felt for a while already","Transportation Infrastructure, Waste and Stormwater, Economic Growth","Pass a tax measure at the local/county/state level to address sea-level rise; Create a single information platform concerning the status of projects related to sea-level rise in the Charleston area, cost projections and scenarios; Empower an existing regional authority to address sea-level rise in the area","Sharing information with other organizations,Engaging in joint planning with other organizations,Implementing projects jointly with other organizations,Training personnel from other organizations,Carrying out research projects jointly with other organizations,Preparing grant/funding proposals jointly with other organizations,Organizing public meetings jointly with other organizations,Outreach activities regarding sea level rise-related projects jointly with other organizations,Publishing reports or other public available documents jointly with other organizations","Scarce budgetary/staff resources,Lack of public support for policies addressing sea-level rise","Too Little","Dutch Dialogues Report (2019),U.S. Army Corps of Engineers Charleston Peninsula Coastal Storm Risk Management Study,City of Charleston Sea-level Rise Strategy Plan (2015 or 2019),Charleston Regional Hazard Mitigation Plan","10","Strongly agree","Strongly agree","10","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.",NA,"10","Somewhat agree","Strongly agree","9","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","Participants don't attend meetings often enough,Participants do not share common views,Participants are not trustworthy","10","Somewhat agree","Strongly agree","9","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Lack of resources","6","Strongly agree","Somewhat disagree","9","Don't know","Participants don't attend meetings often enough,The initiative lacks authority to produce binding decisions,Lack of resources","NOAA, USACE, DHS S&T","SCEMD","City of Charleston","CofC, Citadel, Clemson, The Nature Conservancy",NA
"129","R_1oGuDqKaYDB5ziA","A part of my work, with occasional involvement","No, I am involved on my own","liollio architecture","other","Architect","Executive Management,Planning,Outreach/Communication",NA,"All of Berkeley County,All of Charleston County,All of Dorchester County,City of Charleston (Charleston County),Town of Mount Pleasant (Charleston County),Town of James Island (Charleston County),City of North Charleston (Charleston County),Town of Summerville (Dorchester County)","Somewhat Informed","Somewhat Informed","Very Concerned","Concerned","Not Very High","Increased public availability of scientific knowledge,Creation of a single platform of available scientific information,Stakeholder agreement on the interpretation of scientific information","2 or 3","They are starting to be felt right now","Transportation Infrastructure, Water Supply Infrastructure, Waste and Stormwater","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Pass a tax measure at the local/county/state level to address sea-level rise","Sharing information with other organizations,Engaging in joint planning with other organizations","Scarce budgetary/staff resources,Lack of political leadership of elected officials,Uncertainty about how quickly sea-level rise will happen,Permitting obstacles","Too Little","U.S. Army Corps of Engineers Charleston Peninsula Coastal Storm Risk Management Study,City of Charleston Sea-level Rise Strategy Plan (2015 or 2019)",NA,NA,NA,NA,NA,NA,"7","Somewhat disagree","Somewhat disagree","6","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","Participants do not share common views","8","Somewhat agree","Somewhat disagree","7","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","Participants do not share common views,The process is controlled by a few dominant stakeholders",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130","R_2SqvTC2yZ7fTAj6","A major aspect of my work for 1-5 years","Yes, I am involved on behalf of one organization",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131","R_vjeelShMRNqE2VH","A major aspect of my work for 1-5 years","Yes, I am involved on behalf of one organization","city of charleston","local government","Director, Emergency Mgmt","Executive Management,Policy Analysis,Planning,Governmental Affairs,Outreach/Communication,Other","no","Daniel Island (Berkeley County),City of Charleston (Charleston County)","Well-Informed","Well-Informed","Concerned","Very Concerned","Fairly High","Increased stakeholders’ familiarity with scientific tools,Communication of scientific results or estimates in plain, accessible language,Increased public availability of scientific knowledge","all available","They have been felt for a while already","Transportation Infrastructure, Historically Underserved Communities, Public Health","Complete vulnerability assessments for the three counties as soon as possible; Create a single information platform concerning the status of projects related to sea-level rise in the Charleston area, cost projections and scenarios; Establish a new regional authority to address sea-level rise in the area","Sharing information with other organizations,Engaging in joint planning with other organizations,Implementing projects jointly with other organizations,Carrying out research projects jointly with other organizations,Preparing grant/funding proposals jointly with other organizations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132","R_2Ys8ggVNaXkciSC","A major aspect of my work for more than 5 years","Yes, I am involved on behalf of several organizations","engage strategies","non-profit/non-governmental organization","Managing Principal","Executive Management,Policy Analysis,Planning,Governmental Affairs,Advocacy,Outreach/Communication",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133","R_NXUNjLyUNpif3Ut","A major aspect of my work for less than a year","Yes, I am involved on behalf of one organization","sc office of resilience","state government","Resilience Planning Director ","Executive Management,Planning,Scientific Research,Project Management,Outreach/Communication",NA,"All of Berkeley County,All of Charleston County,All of Dorchester County","Very Well Informed","Very Well Informed","Concerned","Very Concerned","Fairly High","Communication of scientific results or estimates in plain, accessible language,Scientists’ participation into policy meetings/forums,Creation of a single platform of available scientific information","10+","They are starting to be felt right now","Transportation Infrastructure, Ecosystems Health, Coastlines","Complete vulnerability assessments for the three counties as soon as possible; Create a single information platform concerning the status of projects related to sea-level rise in the Charleston area, cost projections and scenarios; Promote projects aimed at accommodating sea-level rise with infrastructure","Sharing information with other organizations,Engaging in joint planning with other organizations,Implementing projects jointly with other organizations,Training personnel from other organizations,Carrying out research projects jointly with other organizations,Preparing grant/funding proposals jointly with other organizations","Lack of an overarching plan,Lack of awareness about other organizations’ activity,Lack of relationships with community-based organizations","About Right","Other, Statewide Risk Reduction and Resilience Plan ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Army Corps","DOT, Sea Grant, DHEC","Charleston County, City of Charleston ","TNC",NA
"134","R_25NkvvixJKREt5H","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","coastal conservation league","non-profit/non-governmental organization","Land, Water, and Wildlife Project Manager","Policy Analysis,Planning,Project Management,Advocacy,Outreach/Communication",NA,"All of Berkeley County,All of Charleston County,All of Dorchester County","Well-Informed","Well-Informed","Very Concerned","Very Concerned","Not Very High","Communication of scientific results or estimates in plain, accessible language,Development of regional reports on sea-level rise,Availability of a source of translation of scientific knowledge into cost estimates","reports, maps, talking to scientists","They have been felt for a while already","Ecosystems Health, Coastlines, Public Health","Pass a tax measure at the local/county/state level to address sea-level rise; Promote projects aimed at accommodating sea-level rise with infrastructure; Promote projects with different or innovative design solutions","Sharing information with other organizations,Engaging in joint planning with other organizations,Implementing projects jointly with other organizations,Preparing grant/funding proposals jointly with other organizations,Organizing public meetings jointly with other organizations,Outreach activities regarding sea level rise-related projects jointly with other organizations,Joining or supporting litigation or other judicial processes,Carrying out advocacy activities jointly with other organizations","Scarce budgetary/staff resources,Lack of political leadership of elected officials,Lack of awareness about other organizations’ activity","About Right","Dutch Dialogues Report (2019),U.S. Army Corps of Engineers Charleston Peninsula Coastal Storm Risk Management Study,City of Charleston Sea-level Rise Strategy Plan (2015 or 2019),Charleston Regional Hazard Mitigation Plan,Other,Other, Living shorelines permit, South Atlantic Salt Marsh Initiative ","6",NA,"Somewhat agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOAA, Army Corps, USFWS, DoT, DoD","SCDNR","City, County and Town municipalities ","local communities, other environmental NGOs, land trusts, ",NA
"135","R_82ZXB9JF1NlxQAh","A part of my work, with routine involvement","Yes, I am involved on behalf of one organization","south carolina coastal conservation league","non-profit/non-governmental organization","Senior Project Manager ","Policy Analysis,Planning,Governmental Affairs,Project Management,Advocacy,Outreach/Communication",NA,"All of Berkeley County,All of Charleston County","Very Well Informed","Very Well Informed","Concerned","Very Concerned","Low","Communication of scientific results or estimates in plain, accessible language,Increased public availability of scientific knowledge,Creation of a single platform of available scientific information,Stakeholder agreement on the interpretation of scientific information","Too many to count ","They have been felt for a while already","Transportation Infrastructure, Waste and Stormwater, Availability of Housing","Complete vulnerability assessments for the three counties as soon as possible; Develop faster/more efficient permitting processes that incorporate considerations of sea-level rise; Promote projects aimed at accommodating sea-level rise with infrastructure","Sharing information with other organizations,Engaging in joint planning with other organizations,Organizing public meetings jointly with other organizations,Outreach activities regarding sea level rise-related projects jointly with other organizations,Publishing reports or other public available documents jointly with other organizations,Joining or supporting litigation or other judicial processes,Carrying out advocacy activities jointly with other organizations","Scarce budgetary/staff resources","About Right","Dutch Dialogues Report (2019),U.S. Army Corps of Engineers Charleston Peninsula Coastal Storm Risk Management Study,City of Charleston Sea-level Rise Strategy Plan (2015 or 2019),Charleston Regional Hazard Mitigation Plan","7","Somewhat agree","Strongly disagree","5","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","The initiative lacks authority to produce binding decisions","5","Strongly disagree","Somewhat disagree","2","For most decisions, one group’s gain involves another group’s loss.","The process is controlled by a few dominant stakeholders,The procedures are confusing,Other: Bureaucratic procedures and processes were difficult for many to participate in, especially during covid. Lots of voices excluded from the process.","4","Somewhat disagree","Somewhat disagree","3","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","The process is controlled by a few dominant stakeholders",NA,NA,NA,NA,NA,NA,"USACE, NOAA","Sea Grant ","SC Office of Resilience, Charleston County, City of Charleston ","Southern Environmental Law Center ",NA
"136","R_2DOyMv9oHvmYifU","A major aspect of my work for more than 5 years","Yes, I am involved on behalf of one organization","thomas and hutton","consulting/research","Principal/Water Resources Department Manager","Executive Management,Policy Analysis,Planning,Project Management",NA,"All of Berkeley County,All of Charleston County,All of Dorchester County,Town of Moncks Corner (Berkeley County),City of Goose Creek (Berkeley County),Daniel Island (Berkeley County),City of Charleston (Charleston County),Town of Mount Pleasant (Charleston County),Town of James Island (Charleston County),City of Folly Beach (Charleston County),Isle of Palms (Charleston County),Town of Kiawah Island (Charleston County),Town of Seabrook Island (Charleston County),Sullivan's Island (Charleston County),City of North Charleston (Charleston County),Town of McClellanville (Charleston County),Town of Edisto Beach (Charleston County),Town of Awendaw (Charleston County),Town of Summerville (Dorchester County)","Very Well Informed","Very Well Informed","Concerned","Very Concerned","Fairly High","Communication of scientific results or estimates in plain, accessible language,Development of regional reports on sea-level rise","about 5","They are starting to be felt right now","Transportation Infrastructure, Waste and Stormwater, Availability of Housing","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Develop faster/more efficient permitting processes that incorporate considerations of sea-level rise","Engaging in joint planning with other organizations,Implementing projects jointly with other organizations,Preparing grant/funding proposals jointly with other organizations,Other: design projects that adapt infrastructure for SLR","Lack of an overarching plan,Permitting obstacles","About Right","Dutch Dialogues Report (2019)","7","Somewhat agree","Somewhat agree","5","Don't know","The process was controlled by a few dominant stakeholders,The initiative lacks authority to produce binding decisions,The procedures were confusing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USACOE","SCDHEC, OCRM","Charleston County, City of Charleston, Town of Mount Pleasant, Seabrook Island, IOP, etc.  ","n/a",NA
"137","R_djy6XDEszWv1VKh","A part of my work, with routine involvement","Yes, I am involved on behalf of one organization","college of charleston","education/academic institution","Director of a virtual academic center","Scientific Research,Project Management,Outreach/Communication",NA,"All of Charleston County,City of North Charleston (Charleston County)","Well-Informed","Well-Informed","Very Concerned","Very Concerned","Fairly High","Communication of scientific results or estimates in plain, accessible language,Scientists’ participation into policy meetings/forums,Development of regional reports on sea-level rise","many scientific reports and publications, the Federal government (e.g., NOAA, NASA, USGS, USGCRP), the IPCC","They have been felt for a while already","Transportation Infrastructure, Waste and Stormwater, Public Health","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Empower an existing regional authority to address sea-level rise in the area","Sharing information with other organizations,Engaging in joint planning with other organizations,Implementing projects jointly with other organizations,Training personnel from other organizations,Carrying out research projects jointly with other organizations,Preparing grant/funding proposals jointly with other organizations,Outreach activities regarding sea level rise-related projects jointly with other organizations,Publishing reports or other public available documents jointly with other organizations","Scarce budgetary/staff resources,Distrust among stakeholders,Lack of political leadership of elected officials,Lack of public support for policies addressing sea-level rise","Far Too Little","Other,Other, Disaster Risk Reduction capacity building for underserved communities, research programs focused on understanding some of the public health threats that may be associaterd with SLR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NIEHS, NOAA","SCDHEC","SC Sea Grant Consortium","Lowcountry Alliance for Model Communities",NA
"138","R_2zuLs4d4cQMwl2x","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","charleston county","local government","Director ","Executive Management,Policy Analysis,Planning,Governmental Affairs,Project Management,Outreach/Communication","Yes","All of Charleston County","Somewhat Informed","Somewhat Informed","Somewhat Concerned","Somewhat Concerned","Low","Communication of scientific results or estimates in plain, accessible language,Creation of a single platform of available scientific information,Update existing reports on sea-level rise for the whole tri-county area","None","They are starting to be felt right now","Waste and Stormwater, Ecosystems Health, Coastlines","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Create a single information platform concerning the status of projects related to sea-level rise in the Charleston area, cost projections and scenarios","Sharing information with other organizations","Uncertainty of the future extent of sea-level rise,Uncertainty about how quickly sea-level rise will happen,Lack of availability of adequate scientific information,Lack of an overarching plan,Lack of awareness about other organizations’ activity","Far Too Little","City of Charleston Sea-level Rise Strategy Plan (2015 or 2019),Charleston Regional Hazard Mitigation Plan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat disagree",NA,"5","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","Participants don't attend meetings often enough,There is too much scientific uncertainty,Lack of resources","10","Strongly agree","Strongly agree","7","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Participants don't attend meetings often enough","None,","None,","Charleston County,","Citadel,",NA
"139","R_3IcvnnFSvQarlcB","A part of my work, with occasional involvement","Yes, I am involved on behalf of several organizations","surfrider charleston","non-profit/non-governmental organization","Volunteer / Board member with Surfrider","Advocacy,Outreach/Communication",NA,"All of Charleston County","Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","Not Very High","Increased public availability of scientific knowledge,Other: The public needs to be more invested - it seems like the only time the public and gov't officials take notice is when they are impacted or there is a crisis. More and more areas are being developed with bigger and bigger houses - less tress - and landscaping that does not help reduce flooding. Stores need to have more areas with grass and natural landscape and business need to have more green space around the parking lots. Less building needs to take place all togehter.","not sure of exact number","They have been felt for a while already","Waste and Stormwater, Ecosystems Health, Coastlines","Complete vulnerability assessments for the three counties as soon as possible; Develop faster/more efficient permitting processes that incorporate considerations of sea-level rise; Promote projects aimed at accommodating sea-level rise with infrastructure","Sharing information with other organizations,Publishing reports or other public available documents jointly with other organizations,Carrying out advocacy activities jointly with other organizations","Scarce budgetary/staff resources,Lack of political leadership of elected officials","About Right","U.S. Army Corps of Engineers Charleston Peninsula Coastal Storm Risk Management Study,City of Charleston Sea-level Rise Strategy Plan (2015 or 2019),Charleston Regional Hazard Mitigation Plan",NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,"Don't know","Other",NA,NA,NA,NA,"Don't know","Other",NA,NA,NA,NA,"Don't know","Other","NOAA","South Carolina. Department of Natural Resources (DNR) ","City of Charleston ","Charleston Resilience Network, City of Charleston, College of Charleston, South Carolina Sea Grant Consortium, South Carolina Department of Health and Environmental Control, The Citadel, University of South Carolina",NA
"140","R_2YbLVB2EwIhF8YP","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","city of charleston","local government",NA,"Executive Management",NA,"Isle of Palms (Charleston County)","Somewhat Informed","Somewhat Informed","Somewhat Concerned","Concerned","Not Very High","Creation of a single platform of available scientific information,Development of regional reports on sea-level rise,Stakeholder agreement on the interpretation of scientific information","2","In the next few decades",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","R_25F4npZ3NQ5GsKO","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization","lowcountry lowline","non-profit/non-governmental organization",NA,"Executive Management,Policy Analysis,Planning,Governmental Affairs,Project Management,Advocacy,Outreach/Communication",NA,"City of Charleston (Charleston County)","Well-Informed","Well-Informed","Very Concerned","Very Concerned","Fairly High","Increased public availability of scientific knowledge,Creation of a single platform of available scientific information,Development of regional reports on sea-level rise","Several","They have been felt for a while already","Transportation Infrastructure, Water Supply Infrastructure, Waste and Stormwater","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Pass a tax measure at the local/county/state level to address sea-level rise","Engaging in joint planning with other organizations,Implementing projects jointly with other organizations,Preparing grant/funding proposals jointly with other organizations,Organizing public meetings jointly with other organizations","Scarce budgetary/staff resources,Lack of political leadership of elected officials,Lack of public support for policies addressing sea-level rise","About Right","Dutch Dialogues Report (2019)","9",NA,"Somewhat agree","10","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","There were no identifiable barriers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"U.S.D.O.T.","S.C.D.O.T.","City of Charleston, Charleston County ","Open Spaces Institute, coastal conservation league",NA
"142","R_yPHA6dd1cbtpI2J","A part of my work, with occasional involvement","Yes, I am involved on behalf of one organization",NA,"state government",NA,"Planning,Outreach/Communication","no","All of Berkeley County,All of Charleston County,All of Dorchester County","Somewhat Informed","Not Informed","Concerned","Very Concerned","Fairly High","Communication of scientific results or estimates in plain, accessible language,Increased public availability of scientific knowledge,Creation of a single platform of available scientific information","too many to count, 2-3 heavily","They are starting to be felt right now","Transportation Infrastructure, Coastlines, Historically Underserved Communities","Create a regional sea-level rise adaptation plan for Charleston, Berkeley, and Dorchester counties; Complete vulnerability assessments for the three counties as soon as possible; Create a single information platform concerning the status of projects related to sea-level rise in the Charleston area, cost projections and scenarios","Sharing information with other organizations,Engaging in joint planning with other organizations,Carrying out research projects jointly with other organizations,Preparing grant/funding proposals jointly with other organizations,Outreach activities regarding sea level rise-related projects jointly with other organizations","Uncertainty of the future extent of sea-level rise,Lack of an overarching plan,Lack of awareness about other organizations’ activity","Too Little","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NOAA","DOT, DNR, EMD","city and county governments and COGs","USC ",NA
"143","R_25yF4xTmNF1S3HR","A part of my work, with routine involvement","Yes, I am involved on behalf of one organization","audubon south carolina","non-profit/non-governmental organization","Coastal Program Associate","Planning,Scientific Research,Project Management,Advocacy,Outreach/Communication",NA,"City of Charleston (Charleston County),Town of Mount Pleasant (Charleston County),Town of James Island (Charleston County),City of Folly Beach (Charleston County),Isle of Palms (Charleston County),Town of Kiawah Island (Charleston County),Town of Seabrook Island (Charleston County),Sullivan's Island (Charleston County),City of North Charleston (Charleston County),Town of McClellanville (Charleston County),Town of Awendaw (Charleston County),Town of Harleyville (Dorchester County)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
