"","ResponseId","involve","org","org_type","title","informShort","informLong","concernShort","concernLong","agree","science","impact","top_sector","policy","collabActivities","barriers","forum_1","forum_2","forum_3","forum_4","forum_5","forumImpact_1","forumImpact_2","forumImpact_3","forumImpact_4","forumImpact_5","forumGoals_1","forumGoals_2","forumGoals_3","forumGoals_4","forumGoals_5","forumProgress_1","forumProgress_2","forumProgress_3","forumProgress_4","forumProgress_5","forumFairness_1","forumFairness_2","forumFairness_3","forumFairness_4","forumFairness_5","forumProcess_1","forumProcess_2","forumProcess_3","forumProcess_4","forumProcess_5","forumBarriers_1","forumBarriers_2","forumBarriers_3","forumBarriers_4","forumBarriers_5","collaboratorsFed","collaboratorsState","collaboratorsLocalRegional","collaboratorsNGO","missing_collaborators"
"88","R_3PNxoC6XJqHHwM1","A major aspect of my work for 1-5 years","michel inc","local government","CEO","Well-Informed","Somewhat Informed","Somewhat Concerned","Very Concerned","Not Very High","Increased stakeholders’ familiarity with scientific tools (e.g. electronic simulation maps),Communication of scientific results or estimates in plain, accessible language,Direct relationships with scientists working on Sea Level Rise","They have been felt for a while already","Water supply infrastructure ,Waste and storm water infrastructure ,Disadvantaged communities ","Complete vulnerability assessments for all the cities and counties as soon as possible ,Pass a tax measure at the local/regional/state level to address sea-level rise,Promote projects aimed at accommodating sea-level rise with “green” infrastructure ","Sharing information with other organizations ,Engaging in joint planning with other organizations ,Training personnel from other organizations ,Outreach activities regarding new Sea Level Rise-related projects jointly with other organizations ,Publishing reports or other publicly available documents jointly with other organizations ","Lack of political leadership of elected officials ,Uncertainty about the future extent of sea level rise ,Uncertainty about how quickly sea level rise will happen ","Iknow2","Iknow4","Iknownone",NA,NA,"4","7","5",NA,NA,"Somewhat Agree","Strongly Disagree","Somewhat Disagree",NA,NA,"Strongly Agree","Strongly Disagree","Somewhat Agree",NA,NA,"6","4","9",NA,NA,"For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Don't know","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.",NA,NA,"Participants didn't attend meetings often enough,Participants did not share common views,Participants were not trustworthy,The time demands were too high","Participants did not share common views,Participants were not trustworthy,The time demands were too high","Participants didn't attend meetings often enough,Participants did not share common views,Participants were not trustworthy",NA,NA,"ewfunefoeuf, sifuneofin","oeifnwoeinfew, eofiniweofin","eofnewofin, weoifnewoin","oinigoeinf, oewifineoifn, eoifnoewinf",NA
"89","R_2dovqe2pn0Q4UX4","A part of my work, with occasional involvement","city of virginia beach","local government","Engineer ","Well-Informed","Somewhat Informed","Concerned","Very Concerned","Not Very High","Communication of scientific results or estimates in plain, accessible language,Increased public availability of scientific knowledge,Stakeholder agreement on the interpretation of scientific information","They have been felt for a while already","Transportation infrastructure ,Coastlines ,Disadvantaged communities ","Create a single information platform concerning the status of projects related to sea-level rise in the Hampton Roads area, cost projections and scenario ,Focus attention on the impact of sea-level rise on historically underserved communities in the area ,Strengthen existing regional authority to address sea-level rise in the area","Sharing information with other organizations ,Engaging in joint planning with other organizations ,Implementing projects jointly with another organizations ,Training personnel from other organizations ,Carrying out research projects jointly with other organizations ,Preparing grant/funding proposals jointly with other organizations ,Organizing public meetings jointly with other organizations ,Publishing reports or other publicly available documents jointly with other organizations ,Signing a formal agreement with another organization  ","Lack of an overarching plan ,Lack of public support for policies addressing Sea Level Rise ,Climate science deniers ","Hampton Roads Adaptation Forum","ASCE VFMA Joint Technical Seminar",NA,NA,NA,"10","10",NA,NA,NA,"Strongly Agree","Strongly Agree",NA,NA,NA,"Strongly Agree","Strongly Agree",NA,NA,NA,"10","7",NA,NA,NA,"For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.",NA,NA,NA,"There were no identifiable barriers","Participants did not share common views,Other: Panel interviewer played devil’s advocate when suggesting evacuation of city rather than implementing SLR infrastructure ",NA,NA,NA,"USDOT, FHWA","VDOT","HRPDC, HRTPO","subconsultants A/E","Tribal "
"90","R_27xss2b7RGDqpYv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"91","R_3hci7iSzwbSvTeW","No involvement","test1","federal government","Test1","Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","Very High","Increased stakeholders’ familiarity with scientific tools (e.g. electronic simulation maps)","They have been felt for a while already","Transportation infrastructure ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"92","R_3prIqYeXC10PlK0","A major aspect of my work for less than a year","wetlands watch","environmental group","Planning Program Director ","Well-Informed","Well-Informed","Concerned","Very Concerned","Not Very High","Increased stakeholders’ familiarity with scientific tools (e.g. electronic simulation maps),Increased public availability of scientific knowledge,Availability of a source of translation of scientific knowledge into cost estimates","They have been felt for a while already","Waste and storm water infrastructure ,Disadvantaged communities ,Economic growth ","Complete vulnerability assessments for all the cities and counties as soon as possible ,Focus attention on the impact of sea-level rise on historically underserved communities in the area ,Support local jurisdictions to respond to sea-level rise threats as they see fit ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"93","R_s4DmsoCTqUJkTXH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"94","R_211HgOys1Fw4TIH","A part of my work, with occasional involvement","city of chesapeake","local government","Senior Planner","Somewhat Informed","Well-Informed","Somewhat Concerned","Very Concerned","Not Very High","Scientists’ participation into policy meeting,Creation of a single platform of available scientific information,Stakeholder agreement on the interpretation of scientific information","They have been felt for a while already","Water supply infrastructure ,Disadvantaged communities ,Availability of housing  ","Complete vulnerability assessments for all the cities and counties as soon as possible ,Develop faster/more efficient permitting processes that incorporate considerations of sea-level rise ,Strengthen existing regional authority to address sea-level rise in the area","Sharing information with other organizations ,Engaging in joint planning with other organizations ","Lack of political leadership of elected officials ,Lack of an overarching plan ,Lack of public support for policies addressing Sea Level Rise ,Climate science deniers ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95","R_32XuH20yY2vl5WZ","A part of my work, with routine involvement","city of chesapeake","local government","Project Manager","Very Well Informed","Well-Informed","Concerned","Very Concerned","Fairly High",NA,"They have been felt for a while already",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","R_3fE665LaWKLRVHM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"97","R_2uPY547ZKfieIEs","A major aspect of my work for more than 5 years","wetlands watch","environmental group","Senior Advisor","Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","Very High","Communication of scientific results or estimates in plain, accessible language,Availability of a source of translation of scientific knowledge into cost estimates,Other: Specific, localized impact asessment = what is going to happen in this community by 2040/60/80 from RSLR?","They have been felt for a while already","Transportation infrastructure ,Ecosystems health ,Property values  ","Pass a tax measure at the local/regional/state level to address sea-level rise,Establish a new regional authority to address sea-level rise in the area ,Other: Begin to triage communities in region for migration - where will the water make it impossible/too expensive to live by mid-century?","Sharing information with other organizations ,Engaging in joint planning with other organizations ,Implementing projects jointly with another organizations ,Training personnel from other organizations ,Carrying out research projects jointly with other organizations ,Preparing grant/funding proposals jointly with other organizations ,Organizing public meetings jointly with other organizations ,Outreach activities regarding new Sea Level Rise-related projects jointly with other organizations ,Publishing reports or other publicly available documents jointly with other organizations ,Joining or supporting litigation or other judicial processes ,Carrying out advocacy activities jointly with other organizations ","Scarce budgetary/staff resources ","Adaptation Forum","HRPDC regional meetings","City Council meetings - various","City of Hampton/City of Norfolk Resiience planning meetings",NA,"7","8","7","9",NA,"Somewhat Agree","Somewhat Disagree","Somewhat Disagree","Strongly Agree",NA,"Somewhat Agree","Strongly Agree","Somewhat Agree","Strongly Agree",NA,"4","7","6","9",NA,"Don't know","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.",NA,"The process was controlled by a few dominant stakeholders,The initiative lacks authority to produce binding decisions,Other: The Adaptation Forum does not make decisions - it presents information. That is the reason for the previous answers,.","The process was controlled by a few dominant stakeholders,The initiative lacks authority to produce binding decisions","The process was controlled by a few dominant stakeholders","There were no identifiable barriers",NA,"FEMA, USACE, US Congress, ","DEQ, DCR, VMRC, General Assembly, Dept of Health, CZM, Sea Grant","Too many to name - all coastal PDC's, some Valley PDC's, nearly every local government in coastal Virginia, some Valley localities.","Too numerous to list - through Virginia Conservation Network, most of the environmental organizations in Va, many faith-based organizations, garden clubs, service clubs, civic leagues, etc. ",NA
"98","R_DB5FQ3F7iNHfl0l","A major aspect of my work for more than 5 years","virginia sea grant","state government","Extension partner","Very Well Informed","Very Well Informed","Very Concerned","Concerned","High","Increased public availability of scientific knowledge,Availability of a source of translation of scientific knowledge into cost estimates,Increased funding for research practice and hirings in local government","They have been felt for a while already","Transportation infrastructure ,Waste and storm water infrastructure ,Disadvantaged communities ","Focus attention on the impact of sea-level rise on historically underserved communities in the area ,Promote projects aimed at accommodating sea-level rise with “green” infrastructure ,Support local jurisdictions to respond to sea-level rise threats as they see fit ","Sharing information with other organizations ,Implementing projects jointly with another organizations ,Training personnel from other organizations ,Sharing personnel with other organizations ,Carrying out research projects jointly with other organizations ,Preparing grant/funding proposals jointly with other organizations ,Organizing public meetings jointly with other organizations ,Outreach activities regarding new Sea Level Rise-related projects jointly with other organizations ,Publishing reports or other publicly available documents jointly with other organizations ","Scarce budgetary/staff resources ,Lack of an overarching plan ,Climate science deniers ","Hampton Roads Adaptation Forum","Rotating Resilience Roundtable","Norfolk 2100 ","HRPDC Coastal Resiliency Working Group","Virginia Beach Sea Level Wise Planning","8","10","6","7","6","Somewhat Agree","Strongly Agree","Don't Know","Somewhat Agree","Don't Know","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","6","9","7","7","7","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","For most decisions, one group’s gain involves another group’s loss.","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","Although most groups can benefit from most decisions, there is conflict over who will benefit the most.","Participants didn't attend meetings often enough,The initiative lacks authority to produce binding decisions,Lack of resources","Lack of resources","The process was controlled by a few dominant stakeholders,The procedures were confusing","The process was controlled by a few dominant stakeholders","Participants did not share common views,The process was controlled by a few dominant stakeholders",NA,"DEQ Coastal Zone Management program","HRPDC, City of Portsmouth, City of Norfolk","W&M Virginia Coastal Policy Center, 
VIMS,
Univ of Virginia Institute for Engagement & Negotiation, 
Wetlands Watch",NA
"99","R_2w5dhZbsV71vRyL","A part of my work, with occasional involvement","formerly hampton roads center for civic engagament","other","DNA","Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","Fairly High","Increased stakeholders’ familiarity with scientific tools (e.g. electronic simulation maps),Communication of scientific results or estimates in plain, accessible language,Update existing reports on Sea Level Rise for the whole Hampton Roads Area","They have been felt for a while already","Transportation infrastructure ,Coastlines ,Other: residential development","Create a regional sea-level rise adaptation plan for the Hampton Roads area ,Promote projects with different or innovative design solutions  ,Strengthen existing regional authority to address sea-level rise in the area","Carrying out advocacy activities jointly with other organizations ","Distrust among stakeholders ,Lack of political leadership of elected officials ,Other: Lack of public knowledge and trust regarding this issue","Activities that bring the public into the discussion","Honest, but not hysterical predictions","Greater respect for public input among the institutional stakeholders","Development and promulgation of a regional vision for addressing sea level rise",NA,"10","10","10","10",NA,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",NA,"Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree",NA,"3","9","1","3",NA,"For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.",NA,"The process was controlled by a few dominant stakeholders,The initiative lacks authority to produce binding decisions,Other: Institutional stakeholders have felt it wasn't time to bring citizen stakeholders into the planning process, or did so with barely superficial seriousness","Participants did not share common views,The initiative lacks authority to produce binding decisions,There is too much scientific uncertainty","Participants did not share common views,The process was controlled by a few dominant stakeholders,The initiative lacks authority to produce binding decisions","Participants did not share common views,The process was controlled by a few dominant stakeholders,The initiative lacks authority to produce binding decisions",NA,NA,NA,NA,"ODU White House initiative",NA
"100","R_2ZKYa7ZlTguhvFN","A major aspect of my work for 1-5 years","vdot","state government","State Hydraulics & Utilities Engineer","Somewhat Informed","Somewhat Informed","Concerned","Very Concerned","Not Very High","Increased stakeholders’ familiarity with scientific tools (e.g. electronic simulation maps),Communication of scientific results or estimates in plain, accessible language,Direct relationships with scientists working on Sea Level Rise","They are starting to be felt right now","Transportation infrastructure ,Water supply infrastructure ,Waste and storm water infrastructure ","Create a regional sea-level rise adaptation plan for the Hampton Roads area ,Complete vulnerability assessments for all the cities and counties as soon as possible ,Promote projects with different or innovative design solutions  ","Sharing information with other organizations ,Engaging in joint planning with other organizations ,Implementing projects jointly with another organizations ,Sharing personnel with other organizations ,Carrying out research projects jointly with other organizations ,Preparing grant/funding proposals jointly with other organizations ,Publishing reports or other publicly available documents jointly with other organizations ,Carrying out advocacy activities jointly with other organizations ","Scarce budgetary/staff resources ,Lack of political leadership of elected officials ,Uncertainty about the future extent of sea level rise ,Uncertainty about how quickly sea level rise will happen ,Lack of availability of adequate scientific information ,Climate science deniers ","Coastal Resiliency Committee ","VDOT's Resiliency Steering Committee","Adaptive Design Study","Adaptive Design Criteria Strategy Working Group","VDOT Resilience Coordination and Outreach Plan Committee","5","10","10","9","9","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","Strongly Agree","7","10","10","9","9","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","There were no identifiable barriers","There were no identifiable barriers","There were no identifiable barriers","There were no identifiable barriers","There were no identifiable barriers","AASHTO, TCHH (Technical Committee on Hydrology & Hydraulics), FHWA, TRB, AKD50 Committee on Hydrology, Hydraulics, and Stormwater, NOAA Atlas 14 Chapter 13.","VA DCR, VA DEQ, UVA, ODU, Other DOTs",NA,"VTRC, VTCA",NA
"101","R_3jTF9eR5bRSRPRF","A part of my work, with routine involvement",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","R_120gnYr73ljEbNd","A major aspect of my work for more than 5 years","city of norfolk","local government","Director, Emergency Preparedness and Response","Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","Not Very High","Increased stakeholders’ familiarity with scientific tools (e.g. electronic simulation maps),Creation of a single platform of available scientific information,Increased funding for research practice and hirings in local government","They have been felt for a while already","Transportation infrastructure ,Waste and storm water infrastructure ,Other: Historic sites like the Jamestown Settlement, etc.","Create a regional sea-level rise adaptation plan for the Hampton Roads area ,Promote projects with different or innovative design solutions  ,Strengthen existing regional authority to address sea-level rise in the area","Sharing information with other organizations ,Engaging in joint planning with other organizations ,Publishing reports or other publicly available documents jointly with other organizations ,Carrying out advocacy activities jointly with other organizations ","Distrust among stakeholders ,Lack of an overarching plan ","Norfolk Dutch Dialogues","Secure Commonwealth Panel 2014 Report on Recurrent Flooding and SLR",NA,NA,NA,"4","5",NA,NA,NA,"Somewhat Disagree","Strongly Agree",NA,NA,NA,"Somewhat Agree","Somewhat Agree",NA,NA,NA,"8","10",NA,NA,NA,"For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.","For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.",NA,NA,NA,"Participants were not trustworthy,There is too much scientific uncertainty,There were no identifiable barriers","The initiative lacks authority to produce binding decisions,There is too much scientific uncertainty",NA,NA,NA,NA,NA,NA,NA,NA
"103","R_pm8ovHGI4q5lvj3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","R_1rDiArPVz4jfKbU","A major aspect of my work for more than 5 years","city of norfolk","local government","Deputy Resilience Officer","Very Well Informed","Very Well Informed","Somewhat Concerned","Concerned","High","Communication of scientific results or estimates in plain, accessible language,Stakeholder agreement on the interpretation of scientific information,Other: Better agreement of appropriate confidence intervals","In the next few decades",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","R_1Nb2Mm2ESF4WGlp","A part of my work, with routine involvement","atm","trade/business/industry group","Senior Engineer","Very Well Informed","Very Well Informed","Very Concerned","Very Concerned","High","Increased stakeholders’ familiarity with scientific tools (e.g. electronic simulation maps),Communication of scientific results or estimates in plain, accessible language,Scientists’ participation into policy meeting","They have been felt for a while already","Waste and storm water infrastructure ,Coastlines ,Economic growth ","Create a regional sea-level rise adaptation plan for the Hampton Roads area ,Complete vulnerability assessments for all the cities and counties as soon as possible ,Focus attention on the impact of sea-level rise on historically underserved communities in the area ","Sharing information with other organizations ","Lack of relationships with community-based organizations ","Hampton Roads Adaptation Forum",NA,NA,NA,NA,"6",NA,NA,NA,NA,"Somewhat Agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106","R_1CqqyAXUcTx87Tf","A major aspect of my work for more than 5 years","environmental defense fund",NA,"Director",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","R_1MFkwYyLLkvDM9M","A part of my work, with routine involvement","virginia department of transportation","state government","Senior Resiliency Engineer","Well-Informed","Well-Informed","Somewhat Concerned","Concerned","Not Very High","Creation of a single platform of available scientific information,Stakeholder agreement on the interpretation of scientific information,Increased funding for research practice and hirings in local government","They have been felt for a while already","Transportation infrastructure ,Water supply infrastructure ,Waste and storm water infrastructure ","Complete vulnerability assessments for all the cities and counties as soon as possible ,Create a single information platform concerning the status of projects related to sea-level rise in the Hampton Roads area, cost projections and scenario ,Strengthen existing regional authority to address sea-level rise in the area","Sharing information with other organizations ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","R_665FKFl4PmFUp5n","A part of my work, with occasional involvement","old dominion university","education/consulting/research","Professor","Well-Informed","Well-Informed","Concerned","Very Concerned","Fairly High","Communication of scientific results or estimates in plain, accessible language,Increased public availability of scientific knowledge,Increased funding for research practice and hirings in local government","They have been felt for a while already","Transportation infrastructure ,Disadvantaged communities ,Property values  ","Create a regional sea-level rise adaptation plan for the Hampton Roads area ,Focus attention on the impact of sea-level rise on historically underserved communities in the area ,Establish a new regional authority to address sea-level rise in the area ","Sharing information with other organizations ,Engaging in joint planning with other organizations ,Training personnel from other organizations ,Carrying out research projects jointly with other organizations ,Organizing public meetings jointly with other organizations ,Publishing reports or other publicly available documents jointly with other organizations ","Scarce budgetary/staff resources ,Lack of political leadership of elected officials ,Lack of an overarching plan ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109","R_73fTVGaMts0VMk6","A major aspect of my work for more than 5 years","city of virginia beach","local government","Technical Services Program Manager","Very Well Informed","Very Well Informed","Concerned","Very Concerned","Fairly High","Communication of scientific results or estimates in plain, accessible language,Creation of a single platform of available scientific information,Stakeholder agreement on the interpretation of scientific information","They are starting to be felt right now","Waste and storm water infrastructure ,Ecosystems health ,Public health ","Develop faster/more efficient permitting processes that incorporate considerations of sea-level rise ,Support local jurisdictions to respond to sea-level rise threats as they see fit ,Build a seawall, living shorelines, flood barriers, wetland restoration, and other armored solutions","Sharing information with other organizations ,Engaging in joint planning with other organizations ,Implementing projects jointly with another organizations ,Carrying out research projects jointly with other organizations ","Scarce budgetary/staff resources ,Permitting obstacles ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"US Army Corps of Engineers
Back Bay National Wildlife Refuge
JEB Little Creek-Fort Story
NAS Oceana
NOAA","Department of Wildlife Resources
Department of Conservation and Recreation
Department of Environmental Quality
Virginia Marine Resource Commission","HRPDC
City of Norfolk","Old Dominion University
Back Bay Restoration Foundation
National Fish and Wildlife Foundation
Virginia Tech",NA
"110","R_6Rav0ik9catAdFp","A part of my work, with occasional involvement","virginia department of emergency management","state government","Hurricane Program Manager","Somewhat Informed","Somewhat Informed","Somewhat Concerned","Concerned","Not Very High","Update existing reports on Sea Level Rise for the whole Hampton Roads Area,Stakeholder agreement on the interpretation of scientific information,Other: 1)Eliminate political rhetoric regarding sea level rise, 2) show specific examples of sea level rise","In the next few years","Transportation infrastructure ,Coastlines ,Disadvantaged communities ","Complete vulnerability assessments for all the cities and counties as soon as possible ,Create a single information platform concerning the status of projects related to sea-level rise in the Hampton Roads area, cost projections and scenario ,Promote projects with different or innovative design solutions  ",NA,"Uncertainty about the future extent of sea level rise ,Uncertainty about how quickly sea level rise will happen ,Lack of availability of adequate scientific information ,Lack of an overarching plan ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"National Weather Service",NA,NA,NA,NA
"111","R_1JQNJMvZJYbFNZ9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112","R_5G6uqIeWqTcHMYN","A part of my work, with occasional involvement","southampton county","local government","Community Development Director","Somewhat Informed","Somewhat Informed","Very Concerned","Very Concerned","Fairly High","Increased stakeholders’ familiarity with scientific tools (e.g. electronic simulation maps),Creation of a single platform of available scientific information,Update existing reports on Sea Level Rise for the whole Hampton Roads Area","They have been felt for a while already","Transportation infrastructure ,Water supply infrastructure ,Waste and storm water infrastructure ","Complete vulnerability assessments for all the cities and counties as soon as possible ,Promote projects aimed at accommodating sea-level rise with “green” infrastructure ,Support local jurisdictions to respond to sea-level rise threats as they see fit ","Other: none","Other: As a community 60 miles from the coast, sea level rise is not seen as important to our community",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HRPDC",NA,NA
"113","R_7EWCq6j1YF68alP","No involvement","natural event mitigation advisory board","local government","Committee Member","Somewhat Informed","Somewhat Informed","Very Concerned","Very Concerned","Very Low","Increased public availability of scientific knowledge,Creation of a single platform of available scientific information,Stakeholder agreement on the interpretation of scientific information","They have been felt for a while already","Coastlines ,Disadvantaged communities ,Other: coastal residential communities","Focus attention on the impact of sea-level rise on historically underserved communities in the area ,Build a seawall, living shorelines, flood barriers, wetland restoration, and other armored solutions,Other: Ensure localities incorporate state codes in their comprehensive plans immediately instead of waiting until the next comprehensive plan update. At least one locality has not included 15.2-2223.2 from 2013. ","Other: This municipality's answer to sea level rise is FEMA acquisitions. They do not offer elevation as an alternative and definitely no improvements that address coastal flooding.   ","Lack of political leadership of elected officials ,Other: Staff informs council - there is no  way to address tidal flooding, it would cost hundred's of millions if not billions of dollars and the solutions do not work.  This is on a video of a council work session. then staff says it would cost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114","R_5EXs4BVx798FhJJ","A major aspect of my work for 1-5 years","southampton county","local government","Environmental Engineer","Well-Informed","Well-Informed","Very Concerned","Very Concerned","High","Increased stakeholders’ familiarity with scientific tools (e.g. electronic simulation maps),Scientists’ participation into policy meeting,Direct relationships with scientists working on Sea Level Rise","They have been felt for a while already","Transportation infrastructure ,Water supply infrastructure ,Energy infrastructure ","Create a regional sea-level rise adaptation plan for the Hampton Roads area ","Streamlining permitting applications across permitting agencies ",NA,"HRPDC",NA,NA,NA,NA,"9",NA,NA,NA,NA,"Somewhat Agree",NA,NA,NA,NA,"Somewhat Agree",NA,NA,NA,NA,"8",NA,NA,NA,NA,"For most decisions in this initiative, most groups can benefit as long as they can develop a common policy.",NA,NA,NA,NA,"The time demands were too high",NA,NA,NA,NA,"FEMA","DEQ

DCR","Isle of Wight County","HRPDC","Center for Watershed Protection"
